facility_name,specialty,procedures,equipment,capability,is_suspicious,suspicion_reason,unique_id
"109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana",internalMedicine,"['HIV Testing and Counseling', 'Community Outreach', 'Stigma Reduction', 'Hospice / Home Based Care']",[],"['Specialties include HIV, AIDS, PMTCT, Behavior Change Communication, global health, and public health']",False,,7d362eaa-8130-410a-bf23-7be549177af0
1st Foundation Clinic,familyMedicine,[],[],[],False,,9d70e24f-247c-41af-b708-cc10e99e54b1
1st Foundation Clinic,internalMedicine,[],[],[],False,,97d11408-8303-44c3-83c2-72cb91c58fb1
1st Foundation Clinic,internalMedicine,[],[],[],False,,4c17951e-87e0-4472-8cf4-189cea9782b8
1st Foundation Clinic,familyMedicine,[],[],[],False,,a6ec226d-a88e-4366-b390-5c709ef54e92
2BN Military Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,8944be75-1ef2-49f7-84a9-763dc4000c7b
37 Military Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,3fef3d66-36d4-4c8c-b132-209d75eb28c5
37 Military Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,f9d8de8a-10e1-4101-afad-6c0917fc0233
"3E Medical Center - Accra, Ghana",internalMedicine,[],[],[],False,,438f3e65-d688-4db6-bc9f-0d2f6edbafe6
3Way Family Care Clinic,familyMedicine,[],[],[],False,,d9051330-1480-4c71-a0ba-365d0d586e40
A & A Medlove Medical Centre,internalMedicine,['Offers 24-hour medical services (Always open)'],[],['Offers 24-hour medical services (Always open)'],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,9b5bcd5b-ffa8-45c0-8d89-29513c7440b6
A&a Medlove Medical Centre,gynecologyAndObstetrics,"['Generally consultation', 'Specialist consultation', 'Obstetrics and gynecology', 'Pediatrics', 'Eye care', 'Out patient & in patient', 'Pharmacy', 'Laboratory', 'Ultrasound scan', 'Electrocardiogram (ECG)']",['Ultrasound scan'],"['Open 24 hours a day, 7 days a week', 'Established in June 2016', 'Has 11-15 employees', 'Managed by Dr. Anthony Twum-Barimah']",True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,77a63893-e9b0-4aa7-89cf-daea0bdc3938
Abomosu Health Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,80296656-a224-42d4-93cf-af30b3cbf514
Aboraa Hospital,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,c1abd8e0-c2fa-40d3-9a27-5b6a32bc429f
Abuakwa Maternity Home,gynecologyAndObstetrics,['maternity services'],[],[],False,,f5f50673-aaa4-440c-9073-6736277a2278
Abura Health Centre,generalSurgery,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,6c1a5964-3b1e-4943-85e9-9d009689a107
Accra Medical Centre,internalMedicine,[],[],[],True,Facility claims to be a large medical center/hospital but provides no evidence of critical infrastructure (Oxygen/Power).,c0d9883e-034c-47ad-8f07-29c200905450
